author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046273t#Expression,Théâtre complet... Préface par Roland Purnal. Notices et notes par J.-J. [Jean-Jacques] Thierry et Josette Mélèze,"Paris : Gallimard , 1963-",Paris,1963,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046300w#Expression,Le dernier jour d'un condamné,"Paris : Nouvel office d'édition , 1963",Paris,1963,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046264v#Expression,Oeuvres dramatiques complètes. Oeuvres critiques complètes. Réunies et présentées par Francis Bouvet,"Paris : J.-J. Pauvert , 1963",Paris,1963,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046318z#Expression,"Hernani, drame. Avec une biographie chronologique... une notice sur la crise du théâtre de la Révolution à 1830... une analyse méthodique... par Alexandre Beaujour,...","Paris : Bordas (Saint-Amand, impr. Bussière) , 1963",Paris,1963,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046252v#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 1,"Paris : le Club français du livre , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330463466#Expression,Les Misérables... 1,"Paris : Éditions S.E.C.A. , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330463497#Expression,Victor Hugo. Les Misérables... 4,"Paris : Éditions S.E.C.A. , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330463911#Expression,Notre Dame de Paris,"Paris : Club des classiques , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046348w#Expression,Victor Hugo. Les Misérables... 3,"Paris : Éditions S.E.C.A. , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330462536#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 2,"Paris : le Club français du livre , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046267w#Expression,Les chatiments,"Paris : Gallimard , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046263h#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 17,"Paris : le Club français du livre , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046254j#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 4,"Paris : le Club français du livre , 1967",Paris,1967,http://id.loc.gov/vocabulary/iso639-2/fre
