author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb388306840#Expression,Obras completas I,"Madrid : Fundación José Antonio de Castro , DL 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb410704485#Expression,Obras completas III,"Madrid : Fundación José Antonio de Castro , DL 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb410704156#Expression,Obras completas II,"Madrid : Fundación José Antonio de Castro , DL 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb410705144#Expression,Obras completas V,"Madrid : Fundación José Antonio de Castro , DL 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb410704783#Expression,Obras completas IV,"Madrid : Fundación José Antonio de Castro , DL 1999",Madrid,1999,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb374648980#Expression,La sirena negra,"Madrid : Espasa-Calpe , 1981",Madrid,1981,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb43613697q#Expression,Miquiño mío : cartas a Galdós,"Madrid : Turner , DL 2013",Madrid,2013,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb41017769d#Expression,"""Un poco de crítica"" : artículos en el ""ABC"" de Madrid (1918-1921)","Alicante : Publicaciones de la Universidad de Alicante , DL 2006",Alicante,2006,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb41183413m#Expression,La maga primavera : y otros cuentos,"Madrid : Lengua de trapo , DL 2007",Madrid,2007,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb409421598#Expression,Obras completas VIII,"Madrid : Fundación José Antonio de Castro , DL 2004",Madrid,2004,http://id.loc.gov/vocabulary/iso639-2/spa
